opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Thresh,13,30.77,1.85,4.23,12.77,3.46,2025-04-15 22:28:33
Maokai,17,41.18,1.65,4.76,11.94,2.86,2025-04-15 22:28:33
Poppy,90,44.44,1.33,5.28,12.04,2.53,2025-04-15 22:28:33
Gragas,26,50.0,1.35,5.19,13.31,2.82,2025-04-15 22:28:33
Karma,56,53.57,1.34,5.02,14.75,3.2,2025-04-15 22:28:33
Neeko,32,50.0,1.19,4.88,11.53,2.61,2025-04-15 22:28:33
Elise,41,46.34,1.86,5.41,14.05,2.94,2025-04-15 22:28:33
Nautilus,121,59.5,1.59,5.4,16.02,3.26,2025-04-15 22:28:33
Braum,52,55.77,1.61,5.63,15.5,3.04,2025-04-15 22:28:33
Pyke,43,62.79,1.6,5.26,13.51,2.87,2025-04-15 22:28:33
Rell,237,58.23,1.8,5.26,15.0,3.19,2025-04-15 22:28:33
Senna,21,66.67,1.1,5.1,15.14,3.18,2025-04-15 22:28:33
Rakan,130,63.85,1.22,4.51,14.86,3.57,2025-04-15 22:28:33
Pantheon,47,59.57,1.38,5.32,14.23,2.94,2025-04-15 22:28:33
Renata Glasc,10,70.0,1.3,3.7,10.3,3.14,2025-04-15 22:28:33
Lulu,41,60.98,1.81,4.17,13.73,3.73,2025-04-15 22:28:33
Leona,84,67.86,1.56,5.04,16.06,3.5,2025-04-15 22:28:33
Janna,20,50.0,1.0,5.3,13.75,2.78,2025-04-15 22:28:33
Fiddlesticks,11,36.36,1.09,5.73,12.36,2.35,2025-04-15 22:28:33
