opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Velkoz,11,36.36,1.64,6.73,19.09,3.08,2025-04-15 22:28:33
Nami,116,51.72,1.46,4.54,14.29,3.47,2025-04-15 22:28:33
Braum,20,50.0,1.25,4.2,10.95,2.9,2025-04-15 22:28:33
Rakan,39,56.41,1.21,3.44,12.54,4.0,2025-04-15 22:28:33
Milio,49,40.82,1.28,3.79,12.2,3.55,2025-04-15 22:28:33
Karma,153,56.21,1.36,3.92,13.37,3.76,2025-04-15 22:28:33
Alistar,20,55.0,1.45,4.4,15.55,3.86,2025-04-15 22:28:33
Senna,51,56.86,1.37,3.33,12.67,4.21,2025-04-15 22:28:33
Janna,58,56.9,1.45,3.71,13.13,3.93,2025-04-15 22:28:33
Thresh,82,57.32,1.47,4.59,15.89,3.79,2025-04-15 22:28:33
Nautilus,108,59.26,1.8,4.47,15.59,3.89,2025-04-15 22:28:33
Rell,65,53.85,1.74,4.37,15.4,3.92,2025-04-15 22:28:33
Soraka,35,54.29,1.26,3.63,12.88,3.9,2025-04-15 22:28:33
Sona,37,51.35,1.49,3.17,14.46,5.04,2025-04-15 22:28:33
Bard,24,83.33,1.33,4.12,16.84,4.4,2025-04-15 22:28:33
Pantheon,14,42.86,2.0,4.5,9.07,2.46,2025-04-15 22:28:33
Poppy,10,50.0,1.7,3.9,13.4,3.87,2025-04-15 22:28:33
Neeko,10,60.0,1.6,3.3,9.9,3.48,2025-04-15 22:28:33
Elise,14,71.43,1.14,3.93,14.79,4.05,2025-04-15 22:28:33
Seraphine,20,50.0,1.5,4.25,10.1,2.73,2025-04-15 22:28:33
Yuumi,17,52.94,0.88,4.59,12.59,2.93,2025-04-15 22:28:33
Renata Glasc,11,63.64,2.0,2.91,10.82,4.41,2025-04-15 22:28:33
Pyke,18,66.67,2.39,4.39,15.5,4.08,2025-04-15 22:28:33
Leona,13,69.23,2.15,4.08,15.15,4.24,2025-04-15 22:28:33
