opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Gwen,56,48.21,5.44,5.79,3.93,1.62,2025-04-15 22:28:33
Ambessa,10,60.0,5.9,6.6,5.2,1.68,2025-04-15 22:28:33
Jayce,40,57.5,4.97,5.05,4.77,1.93,2025-04-15 22:28:33
Rumble,17,41.18,4.24,4.29,3.06,1.7,2025-04-15 22:28:33
Gnar,11,54.55,5.0,3.91,4.18,2.35,2025-04-15 22:28:33
