opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Riven,12,50.0,5.83,4.92,4.92,2.18,2025-04-15 22:28:33
Aatrox,15,60.0,3.67,4.8,4.6,1.72,2025-04-15 22:28:33
Ambessa,12,50.0,2.92,3.58,3.83,1.89,2025-04-15 22:28:33
Rumble,25,56.0,5.12,4.2,6.96,2.88,2025-04-15 22:28:33
