opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Tristana,254,50.39,5.79,4.51,6.03,2.62,2025-04-15 22:28:33
Sivir,59,45.76,5.86,4.02,5.53,2.84,2025-04-15 22:28:33
Aphelios,58,58.62,6.5,3.74,7.14,3.65,2025-04-15 22:28:33
Ashe,166,45.78,5.96,4.62,5.95,2.58,2025-04-15 22:28:33
Jhin,276,49.64,5.48,4.6,5.83,2.46,2025-04-15 22:28:33
Caitlyn,107,60.75,5.78,3.82,5.72,3.01,2025-04-15 22:28:33
Missfortune,177,46.89,5.96,4.54,6.67,2.78,2025-04-15 22:28:33
Draven,84,48.81,6.39,4.96,7.01,2.7,2025-04-15 22:28:33
Varus,341,53.08,5.7,4.59,6.43,2.64,2025-04-15 22:28:33
Kaisa,566,53.89,6.05,4.74,6.57,2.66,2025-04-15 22:28:33
Corki,210,52.86,6.3,4.58,6.38,2.77,2025-04-15 22:28:33
Vayne,52,55.77,7.15,4.58,8.12,3.34,2025-04-15 22:28:33
Jinx,145,57.93,6.38,4.03,6.34,3.15,2025-04-15 22:28:33
Zeri,58,53.45,6.33,4.29,7.43,3.21,2025-04-15 22:28:33
Lucian,109,58.72,5.78,4.58,6.66,2.72,2025-04-15 22:28:33
Smolder,28,78.57,7.54,3.97,8.18,3.96,2025-04-15 22:28:33
Twitch,27,55.56,5.7,4.37,6.41,2.77,2025-04-15 22:28:33
Samira,10,40.0,3.5,4.3,4.5,1.86,2025-04-15 22:28:33
Kogmaw,12,66.67,7.08,5.0,5.33,2.48,2025-04-15 22:28:33
Xayah,20,60.0,6.1,4.15,6.55,3.05,2025-04-15 22:28:33
Kalista,71,49.3,5.25,4.06,6.12,2.8,2025-04-15 22:28:33
Yasuo,10,60.0,5.4,4.9,7.8,2.69,2025-04-15 22:28:33
Ziggs,10,70.0,6.3,4.2,5.8,2.88,2025-04-15 22:28:33
