opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Vi,69,34.78,7.68,4.51,7.49,3.37,2025-04-15 22:28:33
Karma,45,57.78,5.62,6.24,9.69,2.45,2025-04-15 22:28:33
Viego,90,44.44,7.61,4.89,7.91,3.17,2025-04-15 22:28:33
Naafiri,27,51.85,7.45,4.52,8.59,3.55,2025-04-15 22:28:33
Hecarim,11,63.64,7.18,4.64,8.27,3.33,2025-04-15 22:28:33
Diana,12,66.67,6.42,2.92,7.75,4.85,2025-04-15 22:28:33
Jarvaniv,31,41.94,7.0,4.68,6.39,2.86,2025-04-15 22:28:33
Gwen,13,30.77,9.23,7.08,9.15,2.6,2025-04-15 22:28:33
Zac,10,50.0,5.4,3.8,6.2,3.05,2025-04-15 22:28:33
Taliyah,10,50.0,7.6,6.3,10.6,2.89,2025-04-15 22:28:33
Rell,48,52.08,6.08,7.64,11.41,2.29,2025-04-15 22:28:33
Nunu,10,60.0,8.3,5.3,8.5,3.17,2025-04-15 22:28:33
Xinzhao,18,55.56,8.44,4.11,9.0,4.24,2025-04-15 22:28:33
Belveth,11,63.64,8.0,4.55,9.27,3.8,2025-04-15 22:28:33
Talon,16,75.0,8.88,2.94,8.12,5.78,2025-04-15 22:28:33
Leesin,28,35.71,7.79,5.68,7.29,2.65,2025-04-15 22:28:33
Alistar,48,47.92,5.19,6.08,8.44,2.24,2025-04-15 22:28:33
Lulu,20,55.0,4.6,5.65,9.5,2.5,2025-04-15 22:28:33
Thresh,13,53.85,6.38,7.31,14.15,2.81,2025-04-15 22:28:33
Nami,11,63.64,5.36,6.64,12.27,2.66,2025-04-15 22:28:33
Nautilus,32,62.5,7.0,6.84,11.72,2.74,2025-04-15 22:28:33
Poppy,37,54.05,6.4,6.95,9.62,2.31,2025-04-15 22:28:33
Renata,10,40.0,3.9,6.1,10.4,2.34,2025-04-15 22:28:33
Leona,13,38.46,4.38,6.46,8.69,2.02,2025-04-15 22:28:33
Elise,28,46.43,5.32,7.04,10.43,2.24,2025-04-15 22:28:33
Pyke,17,47.06,5.24,8.65,9.71,1.73,2025-04-15 22:28:33
Rakan,14,50.0,4.93,6.29,7.71,2.01,2025-04-15 22:28:33
Neeko,28,64.29,4.79,6.54,10.04,2.27,2025-04-15 22:28:33
Braum,23,65.22,5.3,7.09,11.57,2.38,2025-04-15 22:28:33
