opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Varus,117,50.43,6.54,4.76,6.16,2.67,2025-04-15 22:28:33
Ashe,46,69.57,6.92,5.02,6.46,2.66,2025-04-15 22:28:33
Kaisa,142,57.04,6.94,5.24,6.98,2.66,2025-04-15 22:28:33
Jhin,100,57.0,6.86,5.23,7.53,2.75,2025-04-15 22:28:33
Ezreal,237,58.65,6.29,4.83,6.91,2.73,2025-04-15 22:28:33
Mel,11,72.73,9.18,5.27,7.18,3.1,2025-04-15 22:28:33
Tristana,212,65.57,6.68,4.49,6.68,2.98,2025-04-15 22:28:33
Aphelios,25,60.0,6.48,4.44,6.0,2.81,2025-04-15 22:28:33
Miss Fortune,53,52.83,6.66,4.36,6.15,2.94,2025-04-15 22:28:33
Jinx,57,49.12,7.19,4.72,7.07,3.02,2025-04-15 22:28:33
Caitlyn,66,48.48,6.68,4.95,6.61,2.68,2025-04-15 22:28:33
Kalista,19,47.37,5.74,4.26,5.0,2.52,2025-04-15 22:28:33
Zeri,21,57.14,6.57,5.38,6.33,2.4,2025-04-15 22:28:33
Lucian,33,30.3,5.54,5.33,4.94,1.97,2025-04-15 22:28:33
Draven,33,57.58,8.18,5.46,8.36,3.03,2025-04-15 22:28:33
Twitch,25,64.0,8.8,5.0,6.16,2.99,2025-04-15 22:28:33
KogMaw,14,28.57,7.64,6.86,8.14,2.3,2025-04-15 22:28:33
Yasuo,11,36.36,6.64,4.91,8.09,3.0,2025-04-15 22:28:33
Vayne,19,78.95,6.21,4.0,7.89,3.52,2025-04-15 22:28:33
