opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Kindred,39,58.97,7.24,4.21,7.44,3.49,2025-04-15 22:28:33
Viego,175,56.57,7.36,4.15,8.32,3.77,2025-04-15 22:28:33
Kayn,28,67.86,8.86,4.22,9.04,4.24,2025-04-15 22:28:33
Pantheon,73,49.32,7.52,4.92,9.26,3.41,2025-04-15 22:28:33
Vi,104,48.08,6.59,4.87,8.54,3.11,2025-04-15 22:28:33
Talon,25,44.0,8.24,5.48,8.16,2.99,2025-04-15 22:28:33
Xinzhao,60,55.0,6.68,4.47,8.97,3.5,2025-04-15 22:28:33
Shaco,22,59.09,7.14,5.37,9.55,3.11,2025-04-15 22:28:33
Jarvaniv,21,71.43,8.24,4.19,9.57,4.25,2025-04-15 22:28:33
Karthus,10,30.0,7.2,6.3,9.8,2.7,2025-04-15 22:28:33
Zyra,10,40.0,7.5,4.8,7.0,3.02,2025-04-15 22:28:33
Naafiri,17,41.18,6.94,3.59,7.06,3.9,2025-04-15 22:28:33
Gwen,31,38.71,7.68,4.16,7.32,3.61,2025-04-15 22:28:33
Graves,25,52.0,7.88,4.2,8.28,3.85,2025-04-15 22:28:33
Nidalee,49,57.14,6.82,3.75,7.57,3.83,2025-04-15 22:28:33
Ekko,10,60.0,9.1,4.4,7.0,3.66,2025-04-15 22:28:33
Zed,30,66.67,8.27,3.83,8.34,4.34,2025-04-15 22:28:33
Ivern,21,57.14,6.48,4.38,7.62,3.22,2025-04-15 22:28:33
Monkeyking,14,28.57,6.64,5.71,7.93,2.55,2025-04-15 22:28:33
Udyr,13,30.77,7.08,5.0,9.23,3.26,2025-04-15 22:28:33
Masteryi,10,40.0,6.0,5.0,9.0,3.0,2025-04-15 22:28:33
Khazix,12,50.0,9.83,5.08,8.58,3.62,2025-04-15 22:28:33
Hecarim,17,47.06,6.88,5.12,9.41,3.18,2025-04-15 22:28:33
Skarner,10,60.0,9.0,5.6,11.6,3.68,2025-04-15 22:28:33
Lillia,12,66.67,8.42,3.75,10.42,5.02,2025-04-15 22:28:33
