opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Ksante,45,48.89,4.02,5.11,6.38,2.03,2025-04-15 22:28:33
Jayce,157,50.32,5.07,4.48,5.72,2.41,2025-04-15 22:28:33
Aatrox,29,58.62,5.45,4.96,6.55,2.42,2025-04-15 22:28:33
Ambessa,70,48.57,4.79,4.9,5.69,2.14,2025-04-15 22:28:33
Galio,33,60.61,4.79,4.25,6.79,2.73,2025-04-15 22:28:33
Ryze,16,37.5,4.69,5.0,7.94,2.53,2025-04-15 22:28:33
Irelia,11,36.36,7.45,5.73,6.73,2.47,2025-04-15 22:28:33
Gwen,36,50.0,5.53,5.19,6.44,2.31,2025-04-15 22:28:33
Darius,11,63.64,4.36,4.09,6.73,2.71,2025-04-15 22:28:33
Fiora,20,65.0,5.15,3.95,6.3,2.9,2025-04-15 22:28:33
Kennen,12,66.67,5.25,3.83,6.25,3.0,2025-04-15 22:28:33
Gnar,12,66.67,5.58,5.17,7.33,2.5,2025-04-15 22:28:33
Riven,11,72.73,7.36,4.27,8.18,3.64,2025-04-15 22:28:33
