opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Zyra,17,41.18,5.41,3.47,6.53,3.44,2025-04-15 22:28:33
Karthus,13,38.46,5.85,3.08,7.69,4.4,2025-04-15 22:28:33
Leesin,81,46.91,6.37,3.81,8.32,3.85,2025-04-15 22:28:33
Naafiri,10,50.0,5.2,2.7,6.8,4.44,2025-04-15 22:28:33
Lillia,15,46.67,6.73,3.4,6.73,3.96,2025-04-15 22:28:33
Zac,11,54.55,6.64,3.91,9.0,4.0,2025-04-15 22:28:33
Pantheon,11,54.55,4.36,3.55,9.64,3.94,2025-04-15 22:28:33
Vi,28,53.57,6.39,3.61,8.46,4.11,2025-04-15 22:28:33
Jayce,20,60.0,5.65,4.85,5.6,2.32,2025-04-15 22:28:33
Viego,89,52.81,6.94,3.58,8.93,4.43,2025-04-15 22:28:33
Ambessa,16,68.75,3.62,4.31,3.81,1.72,2025-04-15 22:28:33
Talon,11,54.55,6.55,4.36,8.91,3.55,2025-04-15 22:28:33
Hecarim,33,51.52,8.27,5.15,9.48,3.45,2025-04-15 22:28:33
Khazix,10,70.0,8.5,4.3,9.5,4.19,2025-04-15 22:28:33
Jarvaniv,13,53.85,5.92,3.69,8.15,3.81,2025-04-15 22:28:33
Xinzhao,11,72.73,6.18,2.73,11.09,6.33,2025-04-15 22:28:33
Darius,13,53.85,6.62,3.0,10.31,5.64,2025-04-15 22:28:33
