opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Vi,115,52.17,7.42,3.99,7.31,3.7,2025-04-15 22:28:33
Nocturne,74,55.41,7.12,4.2,7.69,3.53,2025-04-15 22:28:33
Pantheon,54,64.81,7.89,4.17,8.78,4.0,2025-04-15 22:28:33
Talon,50,60.0,8.88,4.12,7.64,4.01,2025-04-15 22:28:33
Kayn,15,66.67,8.07,4.67,7.87,3.41,2025-04-15 22:28:33
Hecarim,49,63.27,7.71,3.57,7.63,4.3,2025-04-15 22:28:33
Viego,112,56.25,8.22,3.56,6.99,4.27,2025-04-15 22:28:33
Poppy,23,39.13,7.87,4.48,6.87,3.29,2025-04-15 22:28:33
Gwen,35,42.86,8.0,4.37,7.08,3.45,2025-04-15 22:28:33
Taliyah,31,45.16,7.65,3.61,6.19,3.83,2025-04-15 22:28:33
Xin Zhao,73,64.38,8.22,4.22,7.81,3.8,2025-04-15 22:28:33
Lillia,57,57.89,8.72,3.88,7.32,4.14,2025-04-15 22:28:33
Zed,11,63.64,9.0,3.18,8.82,5.6,2025-04-15 22:28:33
Ivern,11,63.64,7.09,3.18,7.18,4.49,2025-04-15 22:28:33
Drmundo,13,92.31,11.31,2.15,7.46,8.73,2025-04-15 22:28:33
Nidalee,11,27.27,4.82,3.91,5.55,2.65,2025-04-15 22:28:33
Belveth,12,41.67,6.5,5.08,6.75,2.61,2025-04-15 22:28:33
Zyra,11,36.36,9.27,4.64,7.73,3.66,2025-04-15 22:28:33
RekSai,10,60.0,8.5,4.6,7.6,3.5,2025-04-15 22:28:33
Lee Sin,30,66.67,8.57,2.67,6.43,5.62,2025-04-15 22:28:33
Zac,20,80.0,7.0,3.35,8.85,4.73,2025-04-15 22:28:33
