opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Braum,30,56.67,1.9,4.37,13.63,3.56,2025-04-15 22:28:33
Lulu,104,49.04,1.47,4.28,14.35,3.7,2025-04-15 22:28:33
Janna,88,59.09,1.32,4.51,15.44,3.71,2025-04-15 22:28:33
Thresh,47,55.32,1.29,4.51,14.7,3.55,2025-04-15 22:28:33
Karma,122,60.66,1.48,4.25,15.59,4.01,2025-04-15 22:28:33
Nautilus,69,59.42,1.71,4.26,17.38,4.48,2025-04-15 22:28:33
Lux,11,27.27,0.91,5.55,12.82,2.47,2025-04-15 22:28:33
Sona,29,48.28,1.34,3.24,12.48,4.26,2025-04-15 22:28:33
Bard,46,52.17,1.17,4.28,13.63,3.46,2025-04-15 22:28:33
Senna,37,51.35,1.46,4.03,13.7,3.77,2025-04-15 22:28:33
Milio,37,51.35,1.19,3.86,12.78,3.62,2025-04-15 22:28:33
Pyke,11,54.55,2.09,5.27,21.18,4.42,2025-04-15 22:28:33
Seraphine,16,56.25,1.25,3.81,12.25,3.54,2025-04-15 22:28:33
Soraka,33,60.61,1.21,4.09,15.18,4.01,2025-04-15 22:28:33
Rell,16,62.5,2.31,4.81,17.44,4.11,2025-04-15 22:28:33
Rakan,22,63.64,1.32,3.95,18.32,4.97,2025-04-15 22:28:33
Yuumi,17,76.47,1.76,4.0,14.76,4.13,2025-04-15 22:28:33
Neeko,10,60.0,1.4,4.6,15.5,3.67,2025-04-15 22:28:33
