opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Bard,10,40.0,2.1,4.4,7.4,2.16,2025-04-15 22:28:33
Pantheon,24,41.67,2.38,6.08,11.5,2.28,2025-04-15 22:28:33
Rakan,23,43.48,3.52,5.09,11.87,3.02,2025-04-15 22:28:33
Senna,18,38.89,2.28,4.39,10.94,3.01,2025-04-15 22:28:33
Rell,33,51.52,1.97,4.18,10.09,2.89,2025-04-15 22:28:33
Nautilus,47,51.06,1.87,4.96,10.47,2.49,2025-04-15 22:28:33
Poppy,25,56.0,3.04,4.88,10.6,2.8,2025-04-15 22:28:33
Lulu,12,50.0,3.42,3.42,11.42,4.34,2025-04-15 22:28:33
Pyke,41,63.41,3.29,4.88,11.85,3.1,2025-04-15 22:28:33
Alistar,29,65.52,3.34,6.0,14.21,2.93,2025-04-15 22:28:33
Karma,68,61.76,2.69,4.9,11.72,2.94,2025-04-15 22:28:33
Leona,25,72.0,2.48,5.2,13.16,3.01,2025-04-15 22:28:33
Elise,13,69.23,3.69,5.46,11.38,2.76,2025-04-15 22:28:33
Maokai,10,90.0,2.4,4.8,13.6,3.33,2025-04-15 22:28:33
Kaisa,12,50.0,4.92,5.0,7.08,2.4,2025-04-15 22:28:33
Ezreal,16,68.75,5.19,4.25,9.44,3.44,2025-04-15 22:28:33
Sona,10,60.0,2.7,5.5,13.2,2.89,2025-04-15 22:28:33
