opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Rakan,45,46.67,2.69,4.69,13.4,3.43,2025-04-15 22:28:33
Karma,84,48.81,1.97,4.74,13.91,3.35,2025-04-15 22:28:33
Lulu,35,65.71,3.54,4.34,15.71,4.43,2025-04-15 22:28:33
Rell,63,61.9,3.25,4.87,14.75,3.69,2025-04-15 22:28:33
Janna,45,60.0,2.47,4.0,12.09,3.64,2025-04-15 22:28:33
Poppy,15,46.67,2.4,6.07,13.0,2.54,2025-04-15 22:28:33
Nautilus,46,56.52,2.5,5.67,14.61,3.02,2025-04-15 22:28:33
Elise,22,40.91,2.32,6.18,13.09,2.49,2025-04-15 22:28:33
Senna,26,50.0,2.5,5.31,13.31,2.98,2025-04-15 22:28:33
Pantheon,13,61.54,2.85,5.23,18.08,4.0,2025-04-15 22:28:33
Nami,39,61.54,3.36,4.36,15.1,4.23,2025-04-15 22:28:33
Thresh,21,42.86,2.86,6.0,11.9,2.46,2025-04-15 22:28:33
Pyke,22,40.91,4.18,6.45,12.68,2.61,2025-04-15 22:28:33
