opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Darius,24,45.83,4.5,5.09,9.62,2.78,2025-04-15 22:28:33
Naafiri,116,54.31,5.95,4.12,8.52,3.51,2025-04-15 22:28:33
Khazix,25,52.0,7.32,4.28,9.08,3.83,2025-04-15 22:28:33
Leesin,147,61.9,5.74,3.89,8.51,3.67,2025-04-15 22:28:33
Hecarim,16,56.25,7.69,5.25,9.38,3.25,2025-04-15 22:28:33
Xinzhao,94,43.62,5.39,3.97,7.98,3.37,2025-04-15 22:28:33
Kayn,23,60.87,6.83,4.0,7.91,3.68,2025-04-15 22:28:33
Monkeyking,37,51.35,6.19,4.43,8.38,3.29,2025-04-15 22:28:33
Viego,230,56.52,5.32,4.01,8.16,3.36,2025-04-15 22:28:33
Volibear,13,61.54,6.23,3.85,8.85,3.92,2025-04-15 22:28:33
Zed,37,67.57,6.22,3.92,8.21,3.69,2025-04-15 22:28:33
Ekko,13,84.62,6.38,4.38,11.38,4.05,2025-04-15 22:28:33
Fiddlesticks,10,30.0,4.4,4.3,5.0,2.19,2025-04-15 22:28:33
Talon,48,37.5,6.0,4.58,7.62,2.97,2025-04-15 22:28:33
Kindred,26,34.62,4.46,5.58,7.0,2.05,2025-04-15 22:28:33
Karthus,15,40.0,4.27,4.67,7.27,2.47,2025-04-15 22:28:33
Taliyah,11,36.36,5.45,4.0,7.45,3.23,2025-04-15 22:28:33
Poppy,15,46.67,7.4,4.8,8.8,3.38,2025-04-15 22:28:33
Skarner,21,47.62,5.14,4.76,8.71,2.91,2025-04-15 22:28:33
Nocturne,26,50.0,5.31,3.73,7.92,3.55,2025-04-15 22:28:33
Gwen,36,58.33,6.14,3.42,8.11,4.17,2025-04-15 22:28:33
Pantheon,71,50.7,5.91,4.63,9.07,3.23,2025-04-15 22:28:33
Lillia,41,51.22,6.44,4.51,8.59,3.33,2025-04-15 22:28:33
Nidalee,33,63.64,5.88,3.18,6.97,4.04,2025-04-15 22:28:33
Belveth,11,72.73,4.73,4.09,9.45,3.47,2025-04-15 22:28:33
Zac,16,75.0,6.06,4.0,9.94,4.0,2025-04-15 22:28:33
Sejuani,12,75.0,5.33,3.08,8.0,4.33,2025-04-15 22:28:33
Reksai,13,69.23,6.92,3.69,10.38,4.69,2025-04-15 22:28:33
Rengar,21,57.14,5.86,3.86,9.57,4.0,2025-04-15 22:28:33
Zyra,20,80.0,7.75,4.8,10.55,3.81,2025-04-15 22:28:33
Graves,10,90.0,5.8,2.9,10.8,5.72,2025-04-15 22:28:33
Jarvaniv,32,56.25,5.47,4.47,8.41,3.11,2025-04-15 22:28:33
Drmundo,13,61.54,5.62,3.62,9.77,4.25,2025-04-15 22:28:33
