opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Riven,10,30.0,3.3,6.5,1.9,0.8,2025-04-15 22:28:33
Vladimir,11,54.55,4.18,3.64,3.09,2.0,2025-04-15 22:28:33
Sett,11,18.18,7.18,5.91,4.55,1.98,2025-04-15 22:28:33
Gwen,11,27.27,7.36,3.91,3.27,2.72,2025-04-15 22:28:33
Gnar,10,50.0,8.0,4.1,3.3,2.76,2025-04-15 22:28:33
Viego,51,47.06,5.94,4.79,6.37,2.57,2025-04-15 22:28:33
Pantheon,21,57.14,7.52,5.0,5.91,2.69,2025-04-15 22:28:33
Hecarim,10,70.0,8.8,4.3,7.4,3.77,2025-04-15 22:28:33
Leesin,12,75.0,7.17,5.0,8.25,3.08,2025-04-15 22:28:33
Nidalee,11,36.36,6.45,4.55,4.45,2.4,2025-04-15 22:28:33
Vi,10,50.0,8.6,3.4,7.4,4.71,2025-04-15 22:28:33
Zyra,18,55.56,8.17,5.56,7.78,2.87,2025-04-15 22:28:33
Jarvaniv,14,64.29,7.14,4.93,7.36,2.94,2025-04-15 22:28:33
Garen,10,70.0,5.2,5.7,3.2,1.47,2025-04-15 22:28:33
