opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Hecarim,10,70.0,10.2,6.3,8.2,2.92,2025-04-15 22:28:33
Leesin,35,60.0,7.71,4.74,7.66,3.24,2025-04-15 22:28:33
Kayn,12,50.0,7.25,4.0,5.0,3.06,2025-04-15 22:28:33
Darius,12,50.0,9.67,6.58,7.58,2.62,2025-04-15 22:28:33
Graves,10,50.0,9.5,5.3,6.5,3.02,2025-04-15 22:28:33
Pantheon,10,60.0,9.0,6.0,9.2,3.03,2025-04-15 22:28:33
Vi,11,63.64,7.82,3.82,5.73,3.55,2025-04-15 22:28:33
Viego,21,66.67,9.38,5.43,8.19,3.24,2025-04-15 22:28:33
Masteryi,11,72.73,11.73,3.82,6.45,4.76,2025-04-15 22:28:33
Xinzhao,11,81.82,10.18,4.09,7.82,4.4,2025-04-15 22:28:33
