opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Bard,21,47.62,3.29,4.43,12.33,3.53,2025-04-15 22:28:33
Lulu,43,51.16,2.65,4.33,13.14,3.65,2025-04-15 22:28:33
Rakan,15,66.67,3.87,4.6,18.27,4.81,2025-04-15 22:28:33
Karma,47,57.45,2.91,4.32,11.92,3.43,2025-04-15 22:28:33
Nautilus,43,69.77,3.42,4.95,15.56,3.83,2025-04-15 22:28:33
Nami,45,66.67,3.02,4.47,13.62,3.73,2025-04-15 22:28:33
Pyke,14,14.29,1.43,7.0,7.21,1.23,2025-04-15 22:28:33
Alistar,20,35.0,4.05,5.7,14.5,3.25,2025-04-15 22:28:33
Neeko,17,41.18,2.24,4.94,11.76,2.83,2025-04-15 22:28:33
Poppy,21,42.86,2.52,5.0,10.52,2.61,2025-04-15 22:28:33
Pantheon,16,50.0,3.0,5.69,16.38,3.41,2025-04-15 22:28:33
Elise,18,50.0,3.0,4.67,13.78,3.59,2025-04-15 22:28:33
Rell,16,62.5,2.88,4.56,12.5,3.37,2025-04-15 22:28:33
