opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Xayah,11,18.18,5.91,6.73,7.18,1.95,2025-04-15 22:28:33
Lucian,36,44.44,5.19,4.67,6.53,2.51,2025-04-15 22:28:33
Jinx,58,51.72,6.62,4.28,6.76,3.13,2025-04-15 22:28:33
Tristana,100,52.0,6.89,4.89,6.79,2.8,2025-04-15 22:28:33
Corki,129,50.39,6.48,4.94,6.36,2.6,2025-04-15 22:28:33
Zeri,16,56.25,6.19,5.0,6.69,2.58,2025-04-15 22:28:33
Jhin,256,49.61,5.64,4.87,6.47,2.49,2025-04-15 22:28:33
Ashe,90,51.11,6.62,4.85,6.8,2.77,2025-04-15 22:28:33
Missfortune,128,64.84,7.26,4.6,8.0,3.32,2025-04-15 22:28:33
Ezreal,313,53.67,6.08,4.75,6.64,2.68,2025-04-15 22:28:33
Kaisa,142,58.45,7.15,5.33,7.23,2.7,2025-04-15 22:28:33
Draven,58,51.72,7.5,5.74,7.77,2.66,2025-04-15 22:28:33
Caitlyn,49,71.43,6.55,3.73,7.53,3.77,2025-04-15 22:28:33
Kalista,48,45.83,6.21,5.05,6.61,2.54,2025-04-15 22:28:33
Aphelios,11,63.64,6.36,4.64,6.91,2.86,2025-04-15 22:28:33
Seraphine,10,80.0,4.7,4.3,7.7,2.88,2025-04-15 22:28:33
Sivir,20,45.0,5.45,5.4,7.75,2.44,2025-04-15 22:28:33
