opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Ambessa,54,51.85,4.67,4.87,5.3,2.05,2025-04-15 22:28:33
Jayce,25,56.0,5.56,4.72,5.0,2.24,2025-04-15 22:28:33
Rumble,24,54.17,5.17,5.33,4.08,1.74,2025-04-15 22:28:33
Fiora,13,84.62,5.0,4.08,6.77,2.88,2025-04-15 22:28:33
Irelia,11,36.36,4.64,5.91,3.27,1.34,2025-04-15 22:28:33
Yone,11,54.55,6.55,6.27,5.82,1.97,2025-04-15 22:28:33
Riven,22,54.55,4.68,5.23,5.09,1.87,2025-04-15 22:28:33
Urgot,11,72.73,5.45,3.82,3.73,2.4,2025-04-15 22:28:33
Sion,22,63.64,4.32,3.37,5.14,2.81,2025-04-15 22:28:33
Gangplank,12,50.0,6.58,4.33,5.83,2.87,2025-04-15 22:28:33
Gnar,10,60.0,4.7,4.9,5.8,2.14,2025-04-15 22:28:33
Gragas,12,75.0,3.92,4.0,7.75,2.92,2025-04-15 22:28:33
