champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,173,111,830,778,2238,64.16,3.94,4.8,4.5,12.94,2025-05-09 16:08:30
Viego,536,271,4147,2577,3393,50.56,2.93,7.74,4.81,6.33,2025-05-09 16:08:30
Kindred,224,126,1904,1288,1643,56.25,2.75,8.5,5.75,7.33,2025-05-09 16:08:30
Lillia,284,142,1880,1316,2388,50.0,3.24,6.62,4.63,8.41,2025-05-09 16:08:30
Belveth,95,51,654,416,607,53.68,3.03,6.88,4.38,6.39,2025-05-09 16:08:30
Kayn,225,101,1789,1239,1376,44.89,2.55,7.95,5.51,6.12,2025-05-09 16:08:30
Naafiri,543,285,3978,2483,3895,52.49,3.17,7.33,4.57,7.17,2025-05-09 16:08:30
Xin Zhao,333,170,2006,1680,2826,51.05,2.88,6.02,5.05,8.49,2025-05-09 16:08:30
Shaco,120,53,848,638,887,44.17,2.72,7.07,5.32,7.39,2025-05-09 16:08:30
Sejuani,96,41,366,387,904,42.71,3.28,3.81,4.03,9.42,2025-05-09 16:08:30
Rammus,123,59,444,573,1398,47.97,3.21,3.61,4.66,11.37,2025-05-09 16:08:30
Maokai,71,35,176,358,792,49.3,2.7,2.48,5.04,11.15,2025-05-09 16:08:30
Dr. Mundo,124,68,568,533,836,54.84,2.63,4.58,4.3,6.74,2025-05-09 16:08:30
Zyra,162,81,737,816,1600,50.0,2.86,4.55,5.04,9.88,2025-05-09 16:08:30
Wukong,179,89,1084,869,1093,49.72,2.51,6.06,4.85,6.11,2025-05-09 16:08:30
Ryze,441,210,2143,2162,2698,47.62,2.24,4.86,4.9,6.12,2025-05-09 16:08:30
Aurora,354,175,2144,1604,2024,49.44,2.6,6.06,4.53,5.72,2025-05-09 16:08:30
Ahri,436,220,2251,1853,3279,50.46,2.98,5.16,4.25,7.52,2025-05-09 16:08:30
Taliyah,494,267,2790,2406,4181,54.05,2.9,5.65,4.87,8.46,2025-05-09 16:08:30
Ezreal,748,360,4315,3647,4511,48.13,2.42,5.77,4.88,6.03,2025-05-09 16:08:30
Jhin,606,281,3851,2868,4437,46.37,2.89,6.35,4.73,7.32,2025-05-09 16:08:30
Yone,628,294,2985,3436,2990,46.82,1.74,4.75,5.47,4.76,2025-05-09 16:08:30
Akshan,156,85,1418,803,946,54.49,2.94,9.09,5.15,6.06,2025-05-09 16:08:30
Tristana,667,353,4763,3404,3586,52.92,2.45,7.14,5.1,5.38,2025-05-09 16:08:30
Jayce,693,367,3979,4036,4130,52.96,2.01,5.74,5.82,5.96,2025-05-09 16:08:30
Zeri,208,109,1414,1136,1315,52.4,2.4,6.8,5.46,6.32,2025-05-09 16:08:30
Aphelios,198,90,1121,1115,977,45.45,1.88,5.66,5.63,4.93,2025-05-09 16:08:30
Lissandra,112,65,471,537,954,58.04,2.65,4.21,4.79,8.52,2025-05-09 16:08:30
Sylas,680,355,4150,3598,4363,52.21,2.37,6.1,5.29,6.42,2025-05-09 16:08:30
Tryndamere,106,58,501,566,451,54.72,1.68,4.73,5.34,4.25,2025-05-09 16:08:30
Azir,497,253,2486,2671,2787,50.91,1.97,5.0,5.37,5.61,2025-05-09 16:08:30
Zac,245,142,1068,914,2038,57.96,3.4,4.36,3.73,8.32,2025-05-09 16:08:30
Lucian,499,256,3609,2528,2982,51.3,2.61,7.23,5.07,5.98,2025-05-09 16:08:30
Xerath,101,57,535,424,821,56.44,3.2,5.3,4.2,8.13,2025-05-09 16:08:30
