champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists,last_updated
Nunu & Willump,66,35,313,375,814,53.03,3.01,4.74,5.68,12.33,2025-05-09 16:08:30
Xin Zhao,278,150,1799,1346,2431,53.96,3.14,6.47,4.84,8.74,2025-05-09 16:08:30
Nidalee,113,59,747,473,950,52.21,3.59,6.61,4.19,8.41,2025-05-09 16:08:30
Lillia,178,99,1159,702,1425,55.62,3.68,6.51,3.94,8.01,2025-05-09 16:08:30
Maokai,53,25,119,276,625,47.17,2.7,2.25,5.21,11.79,2025-05-09 16:08:30
Fiddlesticks,222,115,910,1307,2511,51.8,2.62,4.1,5.89,11.31,2025-05-09 16:08:30
Wukong,135,64,772,658,775,47.41,2.35,5.72,4.87,5.74,2025-05-09 16:08:30
Jarvan Iv,128,63,652,571,1465,49.22,3.71,5.09,4.46,11.45,2025-05-09 16:08:30
Udyr,105,54,514,464,696,51.43,2.61,4.9,4.42,6.63,2025-05-09 16:08:30
Ivern,83,50,226,244,1127,60.24,5.55,2.72,2.94,13.58,2025-05-09 16:08:30
Hwei,112,53,508,565,864,47.32,2.43,4.54,5.04,7.71,2025-05-09 16:08:30
Ahri,376,165,1812,1607,2648,43.88,2.78,4.82,4.27,7.04,2025-05-09 16:08:30
Sylas,390,200,2366,2017,2545,51.28,2.43,6.07,5.17,6.53,2025-05-09 16:08:30
Yasuo,269,139,1438,1631,1421,51.67,1.75,5.35,6.06,5.28,2025-05-09 16:08:30
Akali,177,86,1239,850,929,48.59,2.55,7.0,4.8,5.25,2025-05-09 16:08:30
Qiyana,190,96,1504,1066,1230,50.53,2.56,7.92,5.61,6.47,2025-05-09 16:08:30
Azir,268,147,1479,1431,1576,54.85,2.13,5.52,5.34,5.88,2025-05-09 16:08:30
Lee Sin,263,128,2025,1340,2295,48.67,3.22,7.7,5.1,8.73,2025-05-09 16:08:30
Ezreal,446,197,2464,2363,2801,44.17,2.23,5.52,5.3,6.28,2025-05-09 16:08:30
Ashe,166,81,877,1020,1533,48.8,2.36,5.28,6.14,9.23,2025-05-09 16:08:30
Viego,302,139,2429,1559,1804,46.03,2.72,8.04,5.16,5.97,2025-05-09 16:08:30
Morgana,53,25,219,288,719,47.17,3.26,4.13,5.43,13.57,2025-05-09 16:08:30
Yone,425,227,2309,2349,2237,53.41,1.94,5.43,5.53,5.26,2025-05-09 16:08:30
Syndra,283,154,1477,1399,1713,54.42,2.28,5.22,4.94,6.05,2025-05-09 16:08:30
Corki,326,152,2025,1842,2093,46.63,2.24,6.21,5.65,6.42,2025-05-09 16:08:30
Kaisa,471,224,3497,2673,3034,47.56,2.44,7.42,5.68,6.44,2025-05-09 16:08:30
Aurora,312,152,1981,1464,2056,48.72,2.76,6.35,4.69,6.59,2025-05-09 16:08:30
Gangplank,144,61,745,759,780,42.36,2.01,5.17,5.27,5.42,2025-05-09 16:08:30
Viktor,232,119,1113,1174,1639,51.29,2.34,4.8,5.06,7.06,2025-05-09 16:08:30
