champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Fiora,15,9,69,78,63,60.0,1.69,4.6,5.2,4.2
Riven,138,90,1074,576,705,65.22,3.09,7.78,4.17,5.11
Chogath,9,0,18,45,18,0.0,0.8,2.0,5.0,2.0
Gwen,15,3,15,63,18,20.0,0.52,1.0,4.2,1.2
Jayce,27,18,123,174,237,66.67,2.07,4.56,6.44,8.78
Viktor,3,3,6,18,24,100.0,1.67,2.0,6.0,8.0
Gangplank,9,0,27,51,39,0.0,1.29,3.0,5.67,4.33
Volibear,6,6,33,36,63,100.0,2.67,5.5,6.0,10.5
Pantheon,3,3,21,6,12,100.0,5.5,7.0,2.0,4.0
Gragas,12,6,48,51,54,50.0,2.0,4.0,4.25,4.5
Poppy,3,0,9,21,9,0.0,0.86,3.0,7.0,3.0
Ambessa,39,18,162,195,189,46.15,1.8,4.15,5.0,4.85
Jax,30,12,153,153,132,40.0,1.86,5.1,5.1,4.4
Vayne,45,21,309,228,201,46.67,2.24,6.87,5.07,4.47
Rumble,18,6,93,90,126,33.33,2.43,5.17,5.0,7.0
Aurora,3,3,15,6,18,100.0,5.5,5.0,2.0,6.0
Nidalee,51,33,258,162,285,64.71,3.35,5.06,3.18,5.59
Corki,3,0,12,36,9,0.0,0.58,4.0,12.0,3.0
Draven,3,0,3,12,3,0.0,0.5,1.0,4.0,1.0
Lucian,3,0,3,24,18,0.0,0.88,1.0,8.0,6.0
Camille,9,0,30,63,51,0.0,1.29,3.33,7.0,5.67
Wukong,6,0,6,48,21,0.0,0.56,1.0,8.0,3.5
Mordekaiser,3,0,12,30,12,0.0,0.8,4.0,10.0,4.0
Yasuo,3,0,33,18,3,0.0,2.0,11.0,6.0,1.0
Sion,12,6,18,39,126,50.0,3.69,1.5,3.25,10.5
Neeko,12,3,18,69,57,25.0,1.09,1.5,5.75,4.75
Akali,3,3,9,6,18,100.0,4.5,3.0,2.0,6.0
Renekton,24,12,72,141,84,50.0,1.11,3.0,5.88,3.5
Teemo,3,0,3,9,3,0.0,0.67,1.0,3.0,1.0
Kayle,18,9,123,120,111,50.0,1.95,6.83,6.67,6.17
Sejuani,3,3,12,15,21,100.0,2.2,4.0,5.0,7.0
Kennen,3,0,15,24,18,0.0,1.38,5.0,8.0,6.0
Gnar,6,0,18,51,42,0.0,1.18,3.0,8.5,7.0
Yorick,6,3,36,36,27,50.0,1.75,6.0,6.0,4.5
Vladimir,9,9,48,39,99,100.0,3.77,5.33,4.33,11.0
Illaoi,3,3,9,21,36,100.0,2.14,3.0,7.0,12.0
Malphite,3,3,15,15,54,100.0,4.6,5.0,5.0,18.0
Swain,3,3,21,3,27,100.0,16.0,7.0,1.0,9.0
Irelia,3,0,6,24,3,0.0,0.38,2.0,8.0,1.0
Kled,3,3,30,18,12,100.0,2.33,10.0,6.0,4.0
Shen,3,0,9,33,63,0.0,2.18,3.0,11.0,21.0
Quinn,9,3,42,42,30,33.33,1.71,4.67,4.67,3.33
Sett,3,3,6,27,9,100.0,0.56,2.0,9.0,3.0
Tryndamere,6,3,27,27,36,50.0,2.33,4.5,4.5,6.0
Aatrox,3,0,12,27,6,0.0,0.67,4.0,9.0,2.0
Nasus,3,0,6,30,9,0.0,0.5,2.0,10.0,3.0
Warwick,3,0,21,36,18,0.0,1.08,7.0,12.0,6.0
