champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Zyra,9,9,36,33,93,100.0,3.91,4.0,3.67,10.33
Riven,6,0,48,24,39,0.0,3.62,8.0,4.0,6.5
Tristana,24,21,180,87,150,87.5,3.79,7.5,3.62,6.25
Varus,24,9,114,138,183,37.5,2.15,4.75,5.75,7.62
Caitlyn,12,3,33,42,48,25.0,1.93,2.75,3.5,4.0
Ezreal,30,15,252,141,231,50.0,3.43,8.4,4.7,7.7
Viktor,6,3,63,45,96,50.0,3.53,10.5,7.5,16.0
Brand,3,0,9,24,12,0.0,0.88,3.0,8.0,4.0
Twitch,45,27,474,228,234,60.0,3.11,10.53,5.07,5.2
Kaisa,45,24,294,267,306,53.33,2.25,6.53,5.93,6.8
Samira,9,6,45,30,18,66.67,2.1,5.0,3.33,2.0
Seraphine,3,0,18,18,54,0.0,4.0,6.0,6.0,18.0
Vayne,24,12,252,135,186,50.0,3.24,10.5,5.62,7.75
Annie,3,0,9,18,21,0.0,1.67,3.0,6.0,7.0
Smolder,21,12,105,93,132,57.14,2.55,5.0,4.43,6.29
Aurora,3,0,9,6,9,0.0,3.0,3.0,2.0,3.0
Yunara,42,27,243,192,264,64.29,2.64,5.79,4.57,6.29
Corki,18,9,156,111,156,50.0,2.81,8.67,6.17,8.67
Ziggs,9,0,18,39,39,0.0,1.46,2.0,4.33,4.33
Draven,18,9,144,108,63,50.0,1.92,8.0,6.0,3.5
Lucian,48,15,327,222,261,31.25,2.65,6.81,4.62,5.44
Mel,9,3,72,27,42,33.33,4.22,8.0,3.0,4.67
Senna,15,9,45,57,108,60.0,2.68,3.0,3.8,7.2
Lux,9,6,42,27,105,66.67,5.44,4.67,3.0,11.67
Xayah,9,3,48,39,33,33.33,2.08,5.33,4.33,3.67
Aphelios,33,15,216,147,156,45.45,2.53,6.55,4.45,4.73
Heimerdinger,3,0,3,27,6,0.0,0.33,1.0,9.0,2.0
Sivir,33,24,168,129,369,72.73,4.16,5.09,3.91,11.18
Jhin,24,9,120,120,150,37.5,2.25,5.0,5.0,6.25
Ashe,15,9,48,72,87,60.0,1.88,3.2,4.8,5.8
Karthus,3,3,15,3,18,100.0,11.0,5.0,1.0,6.0
Zeri,9,3,69,57,72,33.33,2.47,7.67,6.33,8.0
Miss Fortune,15,9,81,51,60,60.0,2.76,5.4,3.4,4.0
Irelia,3,3,18,24,27,100.0,1.88,6.0,8.0,9.0
Veigar,6,3,15,48,27,50.0,0.88,2.5,8.0,4.5
Jinx,6,0,18,36,24,0.0,1.17,3.0,6.0,4.0
Nilah,3,0,0,3,0,0.0,0.0,0.0,1.0,0.0
Urgot,3,0,24,24,24,0.0,2.0,8.0,8.0,8.0
