champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Zyra,2,2,11,5,11,100.0,4.4,5.5,2.5,5.5
Nunu & Willump,5,1,23,32,60,20.0,2.59,4.6,6.4,12.0
Lee Sin,17,6,110,87,141,35.29,2.89,6.47,5.12,8.29
Taliyah,1,0,9,5,14,0.0,4.6,9.0,5.0,14.0
Gwen,4,2,25,22,23,50.0,2.18,6.25,5.5,5.75
Volibear,7,2,20,32,45,28.57,2.03,2.86,4.57,6.43
Pantheon,19,8,130,90,147,42.11,3.08,6.84,4.74,7.74
Jarvan IV,16,12,89,67,238,75.0,4.88,5.56,4.19,14.88
Trundle,2,1,5,5,16,50.0,4.2,2.5,2.5,8.0
Gragas,1,0,3,6,4,0.0,1.17,3.0,6.0,4.0
Poppy,4,2,10,10,38,50.0,4.8,2.5,2.5,9.5
Ambessa,4,3,25,25,40,75.0,2.6,6.25,6.25,10.0
Jax,2,1,4,9,13,50.0,1.89,2.0,4.5,6.5
Udyr,4,4,13,13,24,100.0,2.85,3.25,3.25,6.0
Vayne,1,1,9,5,14,100.0,4.6,9.0,5.0,14.0
Zed,4,3,32,10,17,75.0,4.9,8.0,2.5,4.25
Nidalee,9,3,65,46,77,33.33,3.09,7.22,5.11,8.56
Ekko,7,4,66,32,53,57.14,3.72,9.43,4.57,7.57
Xin Zhao,6,1,39,39,65,16.67,2.67,6.5,6.5,10.83
Hecarim,5,2,27,29,52,40.0,2.72,5.4,5.8,10.4
Reksai,1,1,4,1,4,100.0,8.0,4.0,1.0,4.0
Belveth,8,4,60,36,35,50.0,2.64,7.5,4.5,4.38
Master Yi,1,0,5,9,1,0.0,0.67,5.0,9.0,1.0
Viego,17,10,135,63,131,58.82,4.22,7.94,3.71,7.71
Wukong,5,2,18,21,33,40.0,2.43,3.6,4.2,6.6
Vi,5,2,21,14,29,40.0,3.57,4.2,2.8,5.8
Mordekaiser,2,1,4,7,8,50.0,1.71,2.0,3.5,4.0
Talon,6,5,53,33,50,83.33,3.12,8.83,5.5,8.33
Nocturne,2,2,8,12,31,100.0,3.25,4.0,6.0,15.5
Yuumi,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Shyvana,1,0,6,7,2,0.0,1.14,6.0,7.0,2.0
Karthus,2,0,19,19,20,0.0,2.05,9.5,9.5,10.0
Elise,3,3,24,12,13,100.0,3.08,8.0,4.0,4.33
Kindred,3,1,21,15,22,33.33,2.87,7.0,5.0,7.33
Shaco,3,0,11,14,25,0.0,2.57,3.67,4.67,8.33
Diana,1,1,11,2,8,100.0,9.5,11.0,2.0,8.0
Sejuani,1,0,5,6,9,0.0,2.33,5.0,6.0,9.0
Ivern,6,4,15,21,87,66.67,4.86,2.5,3.5,14.5
Graves,3,1,24,22,23,33.33,2.14,8.0,7.33,7.67
Qiyana,2,1,19,11,22,50.0,3.73,9.5,5.5,11.0
Zac,1,1,14,2,10,100.0,12.0,14.0,2.0,10.0
Fiddlesticks,2,1,8,16,23,50.0,1.94,4.0,8.0,11.5
Kayn,1,1,10,1,11,100.0,21.0,10.0,1.0,11.0
Dr. Mundo,1,0,2,2,2,0.0,2.0,2.0,2.0,2.0
Rammus,2,1,6,11,31,50.0,3.36,3.0,5.5,15.5
