champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Zyra,9,3,33,36,75,33.33,3.0,3.67,4.0,8.33
Riven,3,3,9,18,42,100.0,2.83,3.0,6.0,14.0
Nunu & Willump,6,3,6,45,57,50.0,1.4,1.0,7.5,9.5
Nami,27,12,45,123,354,44.44,3.24,1.67,4.56,13.11
Braum,33,21,39,168,501,63.64,3.21,1.18,5.09,15.18
Rakan,21,0,9,129,168,0.0,1.37,0.43,6.14,8.0
Pantheon,6,3,6,24,30,50.0,1.5,1.0,4.0,5.0
Jarvan IV,3,0,9,27,27,0.0,1.33,3.0,9.0,9.0
Trundle,3,3,15,6,45,100.0,10.0,5.0,2.0,15.0
Gragas,6,3,12,36,114,50.0,3.5,2.0,6.0,19.0
Poppy,18,9,45,114,276,50.0,2.82,2.5,6.33,15.33
Cassiopeia,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Seraphine,9,9,0,18,87,100.0,4.83,0.0,2.0,9.67
Zilean,9,3,6,36,105,33.33,3.08,0.67,4.0,11.67
Janna,24,21,48,93,480,87.5,5.68,2.0,3.88,20.0
Rumble,3,3,15,12,45,100.0,5.0,5.0,4.0,15.0
Leona,18,15,39,81,216,83.33,3.15,2.17,4.5,12.0
Nidalee,3,3,27,21,84,100.0,5.29,9.0,7.0,28.0
Alistar,84,48,72,459,1164,57.14,2.69,0.86,5.46,13.86
Sona,21,12,36,126,276,57.14,2.48,1.71,6.0,13.14
Sylas,3,0,12,24,18,0.0,1.25,4.0,8.0,6.0
Senna,9,0,15,60,144,0.0,2.65,1.67,6.67,16.0
Bard,30,18,69,114,387,60.0,4.0,2.3,3.8,12.9
Morgana,3,0,9,21,18,0.0,1.29,3.0,7.0,6.0
Camille,6,0,12,36,39,0.0,1.42,2.0,6.0,6.5
Karma,18,9,15,75,240,50.0,3.4,0.83,4.17,13.33
Lux,3,3,24,27,48,100.0,2.67,8.0,9.0,16.0
Rell,33,12,66,210,468,36.36,2.54,2.0,6.36,14.18
Thresh,6,3,6,12,54,50.0,5.0,1.0,2.0,9.0
Neeko,15,9,33,81,216,60.0,3.07,2.2,5.4,14.4
Nautilus,60,30,129,408,801,50.0,2.28,2.15,6.8,13.35
Yuumi,9,0,3,42,51,0.0,1.29,0.33,4.67,5.67
Heimerdinger,3,0,0,15,27,0.0,1.8,0.0,5.0,9.0
Lulu,21,9,24,102,306,42.86,3.24,1.14,4.86,14.57
Elise,3,0,9,24,39,0.0,2.0,3.0,8.0,13.0
Shaco,3,3,0,6,30,100.0,5.0,0.0,2.0,10.0
Diana,3,0,6,48,21,0.0,0.56,2.0,16.0,7.0
Zoe,3,0,21,24,18,0.0,1.62,7.0,8.0,6.0
Pyke,18,9,123,105,138,50.0,2.49,6.83,5.83,7.67
Taric,3,0,0,33,42,0.0,1.27,0.0,11.0,14.0
Soraka,3,3,0,9,63,100.0,7.0,0.0,3.0,21.0
Renata,9,6,0,21,147,66.67,7.0,0.0,2.33,16.33
Fiddlesticks,3,0,3,15,9,0.0,0.8,1.0,5.0,3.0
Milio,15,12,12,45,303,80.0,7.0,0.8,3.0,20.2
Kled,3,0,9,18,9,0.0,1.0,3.0,6.0,3.0
Shen,3,0,9,24,36,0.0,1.88,3.0,8.0,12.0
Blitzcrank,3,0,3,12,9,0.0,1.0,1.0,4.0,3.0
