champion,games,wins,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Yasuo,1840,1054,57.28,5.99,5.87,5.83,2.01,2025-04-15 22:38:41
Zeri,638,345,54.08,7.0,4.96,6.55,2.73,2025-04-15 22:38:41
Orianna,851,479,56.29,5.15,4.38,8.59,3.14,2025-04-15 22:38:41
Irelia,1035,594,57.39,6.19,6.06,4.36,1.74,2025-04-15 22:38:41
Zed,1400,770,55.0,7.66,4.74,5.91,2.86,2025-04-15 22:38:41
Kaisa,2509,1374,54.76,7.34,4.86,6.3,2.81,2025-04-15 22:38:41
Nunu,499,308,61.72,4.73,4.4,12.2,3.85,2025-04-15 22:38:41
Maokai,536,286,53.36,2.45,5.05,12.41,2.94,2025-04-15 22:38:41
Darius,1344,779,57.96,7.01,4.67,5.18,2.61,2025-04-15 22:38:41
Sion,599,330,55.09,3.51,4.3,7.34,2.52,2025-04-15 22:38:41
Skarner,556,289,51.98,4.78,4.22,10.48,3.61,2025-04-15 22:38:41
Ambessa,2531,1426,56.34,5.45,4.54,5.29,2.36,2025-04-15 22:38:41
Aatrox,1133,619,54.63,5.3,5.02,5.25,2.1,2025-04-15 22:38:41
Karthus,818,474,57.95,8.14,6.41,9.08,2.69,2025-04-15 22:38:41
Gangplank,829,480,57.9,5.92,4.92,6.29,2.48,2025-04-15 22:38:41
Vladimir,1234,688,55.75,5.76,4.07,5.2,2.7,2025-04-15 22:38:41
Jayce,2922,1634,55.92,5.43,4.9,5.61,2.25,2025-04-15 22:38:41
Fiora,639,356,55.71,5.1,5.34,4.13,1.73,2025-04-15 22:38:41
Kayle,724,401,55.39,5.23,4.54,5.22,2.3,2025-04-15 22:38:41
Draven,657,365,55.56,7.32,5.5,5.73,2.37,2025-04-15 22:38:41
Chogath,622,347,55.79,6.07,4.71,6.03,2.57,2025-04-15 22:38:41
Nocturne,779,447,57.38,5.82,4.32,7.72,3.14,2025-04-15 22:38:41
Renekton,677,371,54.8,4.7,4.7,5.46,2.16,2025-04-15 22:38:41
Jax,970,555,57.22,5.41,4.74,4.86,2.17,2025-04-15 22:38:41
Swain,722,431,59.7,5.69,4.56,9.32,3.29,2025-04-15 22:38:41
Rumble,1138,596,52.37,5.29,4.87,6.33,2.38,2025-04-15 22:38:41
Garen,777,439,56.5,5.8,4.21,3.89,2.3,2025-04-15 22:38:41
Warwick,552,320,57.97,6.81,5.73,5.56,2.16,2025-04-15 22:38:41
Talon,1147,668,58.24,8.93,4.68,6.64,3.33,2025-04-15 22:38:41
Riven,1184,689,58.19,6.93,4.98,4.62,2.32,2025-04-15 22:38:41
Vayne,496,273,55.04,6.9,5.6,5.04,2.13,2025-04-15 22:38:41
Senna,858,489,56.99,3.15,4.86,13.62,3.45,2025-04-15 22:38:41
Kalista,639,358,56.03,7.44,5.59,6.07,2.42,2025-04-15 22:38:41
Nidalee,1213,668,55.07,6.36,3.98,8.63,3.77,2025-04-15 22:38:41
Qiyana,898,528,58.8,8.45,5.14,6.09,2.83,2025-04-15 22:38:41
Khazix,515,262,50.87,8.22,4.56,6.34,3.19,2025-04-15 22:38:41
Diana,636,329,51.73,6.91,5.25,6.98,2.64,2025-04-15 22:38:41
Jarvaniv,903,505,55.92,5.4,4.41,12.1,3.97,2025-04-15 22:38:41
Monkeyking,730,392,53.7,6.47,4.49,6.88,2.98,2025-04-15 22:38:41
Pyke,1273,706,55.46,6.03,6.1,10.12,2.65,2025-04-15 22:38:41
Akshan,555,301,54.23,9.41,5.22,5.5,2.86,2025-04-15 22:38:41
