champion,games,wins,win_rate,avg_kills,avg_deaths,avg_assists,kda,region,last_updated
Jax,3,3,100.0,6.67,5.33,9.0,2.94,na1,2025-04-11 05:51:26
Aphelios,7,6,85.71,10.43,4.86,5.0,3.18,na1,2025-04-11 05:51:26
Seraphine,6,5,83.33,0.5,4.0,12.5,3.25,na1,2025-04-11 05:51:26
FiddleSticks,18,14,77.78,3.28,4.39,15.61,4.3,na1,2025-04-11 05:51:26
Azir,8,6,75.0,5.5,4.75,8.0,2.84,na1,2025-04-11 05:51:26
Syndra,4,3,75.0,6.25,3.25,7.5,4.23,na1,2025-04-11 05:51:26
Mel,4,3,75.0,10.5,6.25,7.0,2.8,na1,2025-04-11 05:51:26
Rengar,12,9,75.0,8.83,4.58,9.0,3.89,na1,2025-04-11 05:51:26
Pyke,23,17,73.91,8.35,5.48,9.61,3.28,na1,2025-04-11 05:51:26
XinZhao,22,16,72.73,7.82,4.5,11.59,4.31,na1,2025-04-11 05:51:26
KogMaw,7,5,71.43,8.43,5.0,8.29,3.34,na1,2025-04-11 05:51:26
Ryze,7,5,71.43,6.43,4.14,5.43,2.86,na1,2025-04-11 05:51:26
Gangplank,7,5,71.43,6.57,4.14,4.71,2.72,na1,2025-04-11 05:51:26
JarvanIV,9,6,66.67,7.67,4.22,15.78,5.55,na1,2025-04-11 05:51:26
LeeSin,6,4,66.67,7.67,4.83,12.33,4.14,na1,2025-04-11 05:51:26
Brand,6,4,66.67,7.5,4.5,10.33,3.96,na1,2025-04-11 05:51:26
Milio,3,2,66.67,0.0,0.33,11.0,33.0,na1,2025-04-11 05:51:26
Ziggs,3,2,66.67,8.33,6.33,12.0,3.21,na1,2025-04-11 05:51:26
Karma,9,6,66.67,1.78,3.44,15.56,5.03,na1,2025-04-11 05:51:26
Rell,6,4,66.67,1.83,6.33,19.17,3.32,na1,2025-04-11 05:51:26
Nocturne,3,2,66.67,8.33,2.33,6.0,6.14,na1,2025-04-11 05:51:26
Yone,9,6,66.67,6.89,4.44,5.0,2.67,na1,2025-04-11 05:51:26
Ezreal,18,12,66.67,6.11,5.17,6.89,2.52,na1,2025-04-11 05:51:26
Viktor,6,4,66.67,7.5,4.67,7.33,3.18,na1,2025-04-11 05:51:26
Gwen,20,13,65.0,8.2,4.6,6.05,3.1,na1,2025-04-11 05:51:26
Nunu,17,11,64.71,5.06,4.41,13.88,4.29,na1,2025-04-11 05:51:26
Draven,14,9,64.29,6.79,6.5,7.5,2.2,na1,2025-04-11 05:51:26
Vayne,14,9,64.29,8.64,5.43,5.86,2.67,na1,2025-04-11 05:51:26
Qiyana,22,14,63.64,8.27,4.27,5.86,3.31,na1,2025-04-11 05:51:26
Nidalee,11,7,63.64,6.82,2.91,8.55,5.28,na1,2025-04-11 05:51:26
MissFortune,19,12,63.16,7.95,5.74,9.53,3.05,na1,2025-04-11 05:51:26
Rakan,8,5,62.5,2.38,4.88,16.62,3.9,na1,2025-04-11 05:51:26
Zed,21,13,61.9,8.95,3.95,7.19,4.08,na1,2025-04-11 05:51:26
Alistar,13,8,61.54,2.0,6.0,15.23,2.87,na1,2025-04-11 05:51:26
Akshan,10,6,60.0,10.8,5.7,7.3,3.18,na1,2025-04-11 05:51:26
Camille,5,3,60.0,5.4,4.6,5.4,2.35,na1,2025-04-11 05:51:26
Vladimir,5,3,60.0,4.4,3.4,3.4,2.29,na1,2025-04-11 05:51:26
Volibear,27,16,59.26,7.11,4.41,8.11,3.45,na1,2025-04-11 05:51:26
Jayce,24,14,58.33,6.0,5.25,5.88,2.26,na1,2025-04-11 05:51:26
Maokai,7,4,57.14,4.57,6.0,11.71,2.71,na1,2025-04-11 05:51:26
Gnar,7,4,57.14,5.57,5.29,5.29,2.05,na1,2025-04-11 05:51:26
Senna,7,4,57.14,3.43,6.14,14.14,2.86,na1,2025-04-11 05:51:26
Ashe,7,4,57.14,7.29,5.43,10.86,3.34,na1,2025-04-11 05:51:26
Anivia,9,5,55.56,3.89,3.0,6.11,3.33,na1,2025-04-11 05:51:26
Corki,22,12,54.55,7.18,5.68,5.77,2.28,na1,2025-04-11 05:51:26
Ambessa,22,12,54.55,6.05,3.86,5.91,3.09,na1,2025-04-11 05:51:26
Jhin,15,8,53.33,7.07,4.47,7.33,3.22,na1,2025-04-11 05:51:26
Varus,15,8,53.33,6.33,3.93,7.33,3.47,na1,2025-04-11 05:51:26
Xayah,4,2,50.0,7.75,5.25,5.25,2.48,na1,2025-04-11 05:51:26
Taliyah,12,6,50.0,7.08,4.92,8.67,3.2,na1,2025-04-11 05:51:26
Sion,4,2,50.0,3.0,4.25,10.5,3.18,na1,2025-04-11 05:51:26
Riven,12,6,50.0,7.33,3.67,5.5,3.5,na1,2025-04-11 05:51:26
Elise,4,2,50.0,7.75,8.5,11.5,2.26,na1,2025-04-11 05:51:26
Poppy,6,3,50.0,3.17,4.0,11.67,3.71,na1,2025-04-11 05:51:26
Jinx,6,3,50.0,8.33,7.17,7.83,2.26,na1,2025-04-11 05:51:26
Zilean,4,2,50.0,2.75,5.5,13.0,2.86,na1,2025-04-11 05:51:26
Aatrox,4,2,50.0,4.5,4.0,1.25,1.44,na1,2025-04-11 05:51:26
Kaisa,9,4,44.44,8.22,5.56,5.78,2.52,na1,2025-04-11 05:51:26
Viego,27,12,44.44,9.41,4.44,5.15,3.27,na1,2025-04-11 05:51:26
Braum,9,4,44.44,2.0,5.67,15.22,3.04,na1,2025-04-11 05:51:26
Nautilus,18,8,44.44,2.17,6.28,14.78,2.7,na1,2025-04-11 05:51:26
Sylas,16,7,43.75,5.19,4.81,5.81,2.29,na1,2025-04-11 05:51:26
Chogath,7,3,42.86,5.29,6.0,8.14,2.24,na1,2025-04-11 05:51:26
Kindred,7,3,42.86,10.0,4.71,6.0,3.39,na1,2025-04-11 05:51:26
Bard,12,5,41.67,2.83,6.17,12.58,2.5,na1,2025-04-11 05:51:26
Aurora,15,6,40.0,6.27,4.47,5.6,2.66,na1,2025-04-11 05:51:26
Gragas,5,2,40.0,3.2,5.0,6.6,1.96,na1,2025-04-11 05:51:26
Naafiri,24,9,37.5,5.83,4.58,6.67,2.73,na1,2025-04-11 05:51:26
Lillia,8,3,37.5,8.12,5.12,8.5,3.24,na1,2025-04-11 05:51:26
Lucian,8,3,37.5,9.12,5.38,6.75,2.95,na1,2025-04-11 05:51:26
Tristana,27,10,37.04,7.07,5.48,6.19,2.42,na1,2025-04-11 05:51:26
Vi,17,6,35.29,5.71,5.94,8.88,2.46,na1,2025-04-11 05:51:26
Khazix,3,1,33.33,5.67,5.33,7.0,2.38,na1,2025-04-11 05:51:26
Karthus,3,1,33.33,3.33,6.0,8.67,2.0,na1,2025-04-11 05:51:26
MonkeyKing,3,1,33.33,4.67,5.67,5.33,1.76,na1,2025-04-11 05:51:26
Ahri,3,1,33.33,5.33,4.67,12.0,3.71,na1,2025-04-11 05:51:26
Akali,6,2,33.33,4.5,5.0,6.33,2.17,na1,2025-04-11 05:51:26
Zeri,4,1,25.0,6.75,7.75,6.25,1.68,na1,2025-04-11 05:51:26
Nami,4,1,25.0,1.0,5.5,19.75,3.77,na1,2025-04-11 05:51:26
Neeko,4,1,25.0,3.25,4.5,7.0,2.28,na1,2025-04-11 05:51:26
Renekton,4,1,25.0,4.5,4.75,4.25,1.84,na1,2025-04-11 05:51:26
Smolder,4,1,25.0,4.0,3.75,3.5,2.0,na1,2025-04-11 05:51:26
Zyra,5,1,20.0,4.2,4.6,4.4,1.87,na1,2025-04-11 05:51:26
Graves,6,1,16.67,5.83,3.67,4.83,2.91,na1,2025-04-11 05:51:26
Rumble,6,1,16.67,5.83,6.33,7.83,2.16,na1,2025-04-11 05:51:26
Pantheon,4,0,0.0,6.5,8.25,8.75,1.85,na1,2025-04-11 05:51:26
